English_Word,Hebrew_Translation,Part_of_Speech,Amirnet_Level
autonomy,אוטונומיה,Noun,3
available,"זמין, פנוי",Adjective,1
avarice,תאוות בצע,Noun,3
aversion,סלידה,Noun,3
avid,להוט,Adjective,3
awareness,מודעות,Noun,2
awe,יראת כבוד,Noun,3
balance,"איזון, לאזן",Multi,1
bamboozle,לרמות,Verb,3
ban,החרים,Verb,1
bankruptcy,פשיטת רגל,Noun,2
barrier,מחסום,Noun,2
benefit,"תועלת, יתרון",Multi,1
benevolent,נדיב,Adjective,3
betray,לבגוד,Verb,2
bias,"הטיה, דעה קדומה",Noun,3
bizarre,מוזר,Adjective,2
blackmail,סחטנות,Noun,2
blasphemy,חילול השם,Noun,3
blunt,בוטה,Adjective,2
breakdown,התמוטטות,Noun,2
brevity,קצור,Noun,3
bribe,שחד,Verb,2
brief,"קצר, תדריך",Multi,2
brutality,אכזריות,Noun,2
bulk,"רוב, מסה",Noun,3
burden,עול,Noun,2
camouflage,הסוואה,Noun,2
campaign,"ניהל מסע (בחירות, תעמולה וכדומה)",Verb,2
candid,"כן, גלוי לב",Adjective,3
capable,מסגל,Adjective,2
capacity,"כושר, קיבולת",Noun,3
catastrophe,אסון,Noun,2
categorize,מין,Verb,2
category,"קטגוריה, סיווג",Noun,2
cease,להפסיק,Verb,3
celebrate,חגג,Verb,1
censure,גנה,Verb,3
challenge,"אתגר, לאתגר",Multi,1
channel,תעלה,Noun,2
chaos,תוהו ובוהו,Noun,2
chapter,חילק לפרקים,Verb,1
characteristic,אופייני,Adjective,2
chronic,כרוני,Adjective,2
circumstance,"נסיבה, מצב",Noun,3
circumvent,נמנע,Verb,3
cite,לצטט,Verb,3
civil,אזרחי,Adjective,2
civilian,אזרחי,Adjective,2
clarify,להבהיר,Verb,2
clarity,בהירות,Noun,2
classification,קלסיפיקציה,Noun,2
classify,לסווג,Verb,2
code,קודד,Verb,2
coerce,אלץ,Verb,3
cognizant,מודע,Adjective,3
coherence,עקביות,Noun,3
coherent,"קוהרנטי, עקיב",Adjective,3
coincide,חפף,Verb,3
coincidence,צרוף מקרים,Noun,3
collaborate,לשתף פעולה,Verb,2
collapse,להתמוטט,Verb,2
collide,התנגש,Verb,3
comment,העיר,Verb,1
commission,"עמלה, ועדה, לצוות",Multi,3
commit,"להתחייב, לבצע",Verb,2
commitment,מחיבות,Noun,2
communicate,לתקשר,Verb,1
communication,תקשרת,Noun,2
community,קהילה,Noun,1
compassion,רחמים,Noun,2
compatible,מתאים,Adjective,2
compelling,מרתק,Adjective,2
compensate,לפצות,Verb,3
compensation,פצוי,Noun,3
competent,כשיר,Adjective,2
compilation,אסף,Noun,3
compile,קבץ,Verb,3
complacent,שבע רצון (מעצמו),Adjective,3
complaint,תלונה,Noun,1
complement,השלים,Verb,3
complex,מורכב,Adjective,2
complexity,מרכבות,Noun,2
comply,נענה,Verb,3
component,מרכיב,Noun,2
compound,"מורכב, תרכובת",Multi,3
comprehend,הבין,Verb,2
comprehensive,"מקיף, יסודי",Adjective,3
comprise,להיות מורכב מ,Verb,3
compulsory,שהוא חובה,Adjective,2
compute,חשוב,Noun,2
concede,הודה,Verb,3
concentrate,להתרכז,Verb,2
concentration,רכוז,Noun,2
concept,מושג,Noun,2
concise,תמציתי,Adjective,3
conclude,"להסיק, לסיים",Verb,2
conclusion,מסקנה,Noun,2
condemn,גנה,Verb,2
conduct,"לנהל, התנהגות",Multi,2
confer,נועץ,Verb,3
conference,ועידה,Noun,2
confess,הודה,Verb,2
conflict,"סכסוך, לסתור",Multi,2
connotation,קונוטציה,Noun,3
conscience,מצפון,Noun,2
conscientious,מצפוני,Adjective,3
conscious,בעל הכרה,Adjective,2
consensus,קונצנזוס,Noun,3
consent,"הסכמה, להסכים",Multi,3
consequence,תוצאה,Noun,2
consequent,עוקב,Adjective,3
consequently,כתוצאה,Adverb,2
considerable,"ניכר, משמעותי",Adjective,2
considerably,הרבה,Adverb,2
consist,הרכב,Verb,2
consistent,עקבי,Adjective,2
conspicuous,בולט,Adjective,3
conspiracy,קונספירציה,Noun,3
constant,(מתמטיקה) קבוע,Noun,2
constantly,תדיר,Adverb,2
constitute,"להרכיב, לכונן",Verb,3
constraint,"מגבלה, אילוץ",Noun,3
construct,"לבנות, לייצר",Verb,3
construction,בניה,Noun,2
consume,צרך,Verb,2
consumption,צריכה,Noun,2
contemplate,שקל,Verb,3
contempt,בוז,Noun,3
contention,מחלוקת,Noun,3
contentious,פולמוסי,Adjective,3
context,"הקשר, רקע",Noun,2
contextual,הקשרי,Adjective,3
contraband,מברח,Adjective,3
contract,ערך הסכם,Verb,2
contradict,לסתור,Verb,2
contradiction,סתירה,Noun,2
contrast,"ניגוד, להשוות",Multi,2
contribute,לתרום,Verb,2
contribution,תרומה,Noun,2
controversial,שנוי במחלוקת,Adjective,2
controversy,מחלוקת,Noun,3
convention,ועידה,Noun,3
conventional,שגרתי,Adjective,3
convert,"להמיר, לשנות",Verb,3
convey,"להעביר, למסור",Verb,3
conviction,"הרשעה, אמונה",Noun,3
convince,שכנע,Verb,2
convincing,משכנע,Adjective,2
cooperate,לשתף פעולה,Verb,2
cooperation,שתוף פעלה,Noun,2
coordinate,לתאם,Verb,3
coordination,תאום,Noun,3
core,הוציא את ליבת הפרי,Verb,2
corporate,משתף,Adjective,3
correlate,לתאם,Verb,3
correlation,מתאם,Noun,3
correspond,התכתב,Verb,3
correspondence,התכתבות,Noun,3
corrupt,משחת,Adjective,2
corruption,שחיתות,Noun,2
counterpart,עמית,Noun,3
create,יצר,Verb,1
creation,בריאה,Noun,2
creative,יצירתי,Adjective,2
credibility,מהימנות,Noun,3
credible,"אמין, מהימן",Adjective,3
credit,האמין,Verb,1
crisis,משבר,Noun,2
criteria,קריטריונים,Noun,3
criterion,קריטריון,Noun,3
crucial,"מכריע, חיוני",Adjective,2
cultural,תרבותי,Adjective,2
culture,תרבת,Verb,1
cumulative,מצטבר,Adjective,3
cunning,ערמומי,Adjective,2
currency,מטבע,Noun,2
curriculum,תוכנית לימודים,Noun,2
custody,משמרת,Noun,2
cycle,נע במעגל,Verb,2
cynical,ציני,Adjective,3
data,נתונים,Noun,1
daunting,מבהיל,Adjective,3
deadline,מועד אחרון,Noun,1
debate,"דיון, עימות",Multi,1
deceit,רמאות,Noun,3
deceive,רמה,Verb,2
decisive,החלטי,Adjective,2
decline,ירידה,Noun,2
deduce,להסיק,Verb,3
deduction,דדוקציה,Noun,3
defend,הגן,Verb,1
defer,עכב,Verb,3
defiant,מתריס,Adjective,3
deficit,גירעון,Noun,3
define,להגדיר,Verb,2
definite,מחלט,Adjective,2
definition,הגדרה,Noun,2
degrade,"לפגוע, לשחית",Verb,3
deliberate,"מכוון, לשקול",Multi,3
democracy,דמוקרטיה,Noun,2
demonstrate,"להדגים, להפגין",Verb,2
demonstration,הפגנה,Noun,2
demoralize,יאש,Verb,3
denote,"לציין, לסמל",Verb,3
denounce,הוקיע,Verb,3
depict,לתאר,Verb,3
deplete,לדלדל,Verb,3
depressed,מדכא,Adjective,1
deprive,לשלול,Verb,3
derivation,גזירה,Noun,3
derive,"להפיק, לנבוע",Verb,3
derogatory,משפיל,Adjective,3
design,"עיצוב, לתכנן",Multi,1
despise,תעב,Verb,3
despite,למרות,Preposition,1
detect,לגלות,Verb,2
determine,"לקבוע, להחליט",Verb,2
detrimental,מזיק,Adjective,3
devastate,לזרוע חורבן,Verb,3
deviate,לסטות,Verb,3
deviation,סטיה,Noun,3
devious,ערמומי,Adjective,3
devote,להקדיש,Verb,2
devout,אדוק,Adjective,3
diagnose,אבחן,Verb,2
diffuse,מפזר,Adjective,3
diligent,שקדן,Adjective,2
dimension,חתך בממדים מסוימים,Verb,3
diminish,"להפחית, לדעוך",Verb,3
discern,הבחין,Verb,3
discreet,מצנע,Adjective,3
discrepancy,"פער, סתירה",Noun,3
discrete,מבחן,Adjective,3
discriminate,להפלות,Verb,2
disdain,בז,Verb,3
disguise,מסווה,Noun,2
dismiss,פטר,Verb,2
disparity,שונות,Noun,3
disperse,להתפזר,Verb,3
disregard,להתעלם,Verb,2
distinct,"מובחן, שונה",Adjective,3
distinction,הבחנה,Noun,3
distinguish,הבחין,Verb,2
distort,לעוות,Verb,3
distraught,מטרד,Adjective,3
distribute,"לחלק, להפיץ",Verb,2
distribution,חלקה,Noun,2
diverge,התפצל,Verb,3
diverse,מגוון,Adjective,2
divorce,התגרש,Verb,1
document,תעד,Verb,2
domain,תחום,Noun,3
domestic,משרת,Noun,2
dominance,שליטה,Noun,3
dominant,דומיננטי,Adjective,3
dominate,לשלוט,Verb,2
donate,תרם,Verb,1
draft,"טיוטה, לנסח",Multi,2
dread,אימה,Noun,2
drug,סמם,Verb,1
dubious,מפקפק,Adjective,3
duration,משך,Noun,2
earnest,רצינות,Noun,3
eccentric,"מוזר, אקסצנטרי",Adjective,3
economic,כלכלי,Adjective,2
economics,כלכלה,Noun,2
economy,כלכלה,Noun,1
elaborate,"מורכב, לפרט",Multi,3
election,בחירות,Noun,1
element,"אלמנט, יסוד",Noun,2
eliminate,לחסל,Verb,2
eloquent,רהוט,Adjective,3
elusive,חמקמק,Adjective,3
emanate,נבע,Verb,3
emerge,"להופיע, לצוץ",Verb,3
emergence,הופעה,Noun,3
emergency,חרום,Noun,1
eminent,בולט,Adjective,3
empathy,אמפתיה,Noun,2
emphasis,דגש,Noun,2
emphasize,להדגיש,Verb,2
empire,אימפריה,Noun,2
empirical,אמפירי,Adjective,3
enable,לאפשר,Verb,2
endeavor,מאמץ,Noun,3
energy,אנרגיה,Noun,1
enforce,לאכוף,Verb,3
engage,להעסיק,Verb,2
enhance,לשפר,Verb,2
enlighten,הדריך,Verb,2
enormous,עצום,Adjective,2
ensure,הבטיח,Verb,2
enumerate,ספר,Verb,3
environment,סביבה,Noun,1
environmental,סביבתי,Adjective,2
equality,שויון,Noun,2
equate,השוה,Verb,3
equation,משוואה,Noun,3
equip,לצייד,Verb,2
equitable,הוגן,Adjective,3
equivalent,שווה ערך,Adjective,3
erode,שחק,Verb,3
erroneous,שגוי,Adjective,3
erupt,התפרץ,Verb,3
escape,בריחה,Noun,1
establish,"לבסס, לייסד",Verb,2
establishment,יסוד,Noun,2
estimate,"להעריך, אומדן",Multi,2
estimation,הערכה,Noun,2
ethical,אתי,Adjective,2
ethics,אתיקה,Noun,2
evaluate,"להעריך, לאמוד",Verb,2
evaluation,הערכה,Noun,2
evasive,מתחמק,Adjective,3
evidence,ראיות,Noun,2
evident,ברור,Adjective,2
evolution,התפתחות,Noun,2
evolve,להתפתח,Verb,3
exceed,לחרוג,Verb,2
excessive,מוגזם,Adjective,2
exclude,להוציא מן הכלל,Verb,3
exclusion,הרחקה,Noun,3
exclusive,סיפור בלעדי,Noun,3
execute,"לבצע, להוציא להורג",Verb,2
exempt,אדם שיש לו פטור ממחויבות כלשהי,Noun,3
exhaustive,מקיף,Adjective,3
exhibit,להציג,Verb,2
exile,הגלה,Verb,2
exonerate,זכה,Verb,3
expand,הרחיב,Verb,2
expansion,הרחבה,Noun,2
expedite,זרז,Verb,3
explicit,מפורש,Adjective,3
exploit,לנצל,Verb,2
export,לייצא,Verb,2
expose,לחשוף,Verb,2
exposure,חשיפה,Noun,2
extent,"מידה, היקף",Noun,3
external,חיצוני,Adjective,2
extremist,קיצוני,Adjective,2
fabricate,לפברק,Verb,3
facade,חזית,Noun,3
facilitate,"להקל, לסייע",Verb,3
factor,גורם,Noun,1
fallacy,רעיון או דעה שהם מופרכים מעיקרם,Noun,3
fanatical,קנאי,Adjective,3
fatal,קטלני,Adjective,2
feasibility,ישימות,Noun,3
feasible,"אפשרי, ישים",Adjective,3
feature,"מאפיין, תכונה",Noun,2
fertile,פורה,Adjective,2
fervent,נלהב,Adjective,3
fictitious,פיקטיבי,Adjective,3
fierce,"עז, פראי",Adjective,2
final,סוף,Noun,1
finally,סוף סוף,Adverb,1
finance,ממן,Verb,2
financial,כספי,Adjective,2
flagrant,בוטה,Adjective,3
flaw,פגם,Noun,2
flexible,גמיש,Adjective,2
fluctuate,"להשתנות, לנוע",Verb,3
fluent,רהוט,Adjective,2
focus,"להתמקד, מיקוד",Multi,1
forbid,לאסור,Verb,2
forecast,תחזית,Noun,2
foresee,לחזות,Verb,3
forge,לזייף,Verb,3
format,ארגן,Verb,1
formidable,מטיל [מפיל] אימה,Adjective,3
formula,נוסחה,Noun,2
formulate,נסח,Verb,3
found,לייסד,Verb,2
foundation,יסוד,Noun,2
fragile,שביר,Adjective,2
framework,"מסגרת, מתווה",Noun,3
fraud,הונאה,Noun,2
fraudulent,מרמה,Adjective,3
freedom,חפש,Noun,1
frustrate,לתסכל,Verb,2
fulfill,להגשים,Verb,2
function,"תפקיד, לתפקד",Multi,1
functional,פונקציונלי,Adjective,2
fund,ממן,Verb,2
fundamental,"בסיסי, יסודי",Adjective,2
funding,ממון,Noun,2
futile,עקר,Adjective,3
generate,"לייצר, לגרום",Verb,2
genuine,"אמיתי, מקורי",Adjective,2
global,"עולמי, גלובלי",Adjective,1
globalization,גלובליזציה,Noun,2
grade,דרג,Verb,1
gradual,הדרגתי,Adjective,2
grant,"להעניק, מענק",Multi,2
grasp,"לתפוס, להבין",Verb,2
grateful,אסיר תודה,Adjective,2
grievance,התמרמרות,Noun,3
groundless,"חסר בסיס, ללא הצדקה",Adjective,3
guarantee,קבל [נטל] על עצמו אחריות,Verb,2
guilt,אשמה,Noun,1
guilty,אשם,Adjective,1
gullible,פותה,Adjective,3
hamper,מנע,Verb,3
haughty,יהיר,Adjective,3
hazard,סכנה,Noun,2
heresy,כפירה,Noun,3
heritage,מורשת,Noun,2
hesitate,להסס,Verb,2
hierarchy,היררכיה,Noun,3
hinder,לעכב,Verb,2
homogeneous,הומוגני,Adjective,3
honor,כבד,Verb,1
hostage,בן-ערבה,Noun,2
hostile,עוין,Adjective,2
humble,"עניו, צנוע",Adjective,2
humiliate,להשפיל,Verb,2
hypocrisy,צביעות,Noun,3
hypocrite,צבוע,Noun,2
hypothesis,השערה,Noun,3
hypothetical,היפותטי,Adjective,3
identification,זהוי,Noun,2
identify,לזהות,Verb,2
ideology,אידיאולוגיה,Noun,3
ignore,להתעלם,Verb,1
illegal,אילגלי,Adjective,1
illuminate,להאיר,Verb,2
illustrate,להדגים,Verb,2
illustration,אילוסטרציה,Noun,2
immigrate,הגר (נכנס אל המדינה),Verb,2
imminent,ממשמש ובא,Adjective,3
immunity,חסינות,Noun,2
impact,"השפעה, לפגוע",Multi,2
impartial,בלתי משחד,Adjective,3
impeach,האשים,Verb,3
impediment,מניעה,Noun,3
implement,כלי,Noun,3
implementation,ישום,Noun,3
implicate,ערב,Verb,3
implication,השפעה,Noun,3
implicit,"מרומז, משתמע",Adjective,3
imply,לרמוז,Verb,3
impose,להטיל,Verb,3
impractical,לא-מעשי,Adjective,3
imprison,אסר,Verb,2
impulse,דחף,Noun,2
impulsive,אימפולסיבי,Adjective,2
inadequate,לא מספיק,Adjective,2
incentive,תמריץ,Noun,3
incisive,חד,Adjective,3
incline,הטה,Verb,2
income,הכנסה,Noun,1
incorporate,מאגד,Adjective,3
indicate,"לציין, להצביע",Verb,2
indication,אות,Noun,2
indicator,מחון,Noun,2
indifferent,אדיש,Adjective,3
indigenous,יליד המקום,Adjective,3
indignant,ממרמר,Adjective,3
individual,אינדיבידואום,Noun,1
individually,בנפרד,Adverb,2
induce,לגרום,Verb,3
indulge,רצה,Verb,3
inevitable,בלתי נמנע,Adjective,3
infallible,אדם מהימן,Noun,3
infect,להדביק,Verb,2
infer,להסיק,Verb,3
inference,הסקה,Noun,3
inferior,נחות,Adjective,2
inherent,"טבוע, מולד",Adjective,3
inherit,ירש,Verb,2
initial,חתם בראשי תיבות,Verb,2
initially,בתחילה,Adverb,2
initiate,ליזום,Verb,3
injure,פצע,Verb,2
injury,פציעה,Noun,2
innocent,אדם חף מפשע,Noun,1
innovate,לחדש,Verb,2
innovation,חדוש,Noun,2
innovative,חדשני,Adjective,2
insight,תובנה,Noun,3
instance,הביא כדוגמה,Verb,2
instigate,הסית,Verb,3
instinct,אינסטינקט,Noun,2
institute,מוסד,Noun,2
institution,כינון,Noun,2
integrate,לשלב,Verb,3
integration,אינטגרציה,Noun,3
integrity,יושרה,Noun,3
intense,עז,Adjective,2
intensity,עצמה,Noun,2
intensive,אינטנסיבי,Adjective,2
interact,"לתקשר, לפעול הדדית",Verb,2
interaction,אינטראקציה,Noun,2
interfere,התערב,Verb,2
internal,בדיקה פנימית,Noun,2
interpret,לפרש,Verb,2
interpretation,פרוש,Noun,2
intimidate,לאיים,Verb,2
intuition,אינטואיציה,Noun,2
invasion,פלישה,Noun,2
invest,השקיע,Verb,2
investigate,לחקור,Verb,2
investigation,חקירה,Noun,2
investment,השקעה,Noun,2
invoke,קרא (לעזרתו של האל וכדומה),Verb,3
involve,לערב,Verb,2
involvement,מערבות,Noun,2
ironic,אירוני,Adjective,2
irony,אירוני,Adjective,2
irrational,לא רציונלי,Adjective,2
isolate,לבודד,Verb,2
issue,"סוגיה, בעיה",Noun,2
item,כמו כן,Adverb,1
jeopardize,לסכן,Verb,3
journal,עתון,Noun,2
justice,צדק,Noun,1
justification,הצדקה,Noun,2
justify,להצדיק,Verb,2
keen,"נלהב, חד",Adjective,2
kidnap,חטף,Verb,1
labor,עבודה,Noun,2
lawsuit,תביעה משפטית,Noun,2
layer,יצר שכבות,Verb,2
leak,דלף,Verb,1
legal,חוקי,Adjective,1
legally,באופן חוקי,Adverb,2
legislate,לחוקק,Verb,3
legislation,חקיקה,Noun,3
legislative,מחוקק,Noun,3
legitimate,"לגיטימי, חוקי",Adjective,3
lenient,רחמן,Adjective,3
lethal,קטלני,Adjective,2
liberal,ליברל,Noun,2
liberty,חפש,Noun,2
linear,קוי,Adjective,2
link,"קשר, לקשר",Multi,1
locate,לאתר,Verb,2
location,אתר,Noun,2
logic,היגיון,Noun,2
logical,לוגי,Adjective,2
loyal,נאמן,Adjective,1
lucid,צלול,Adjective,3
lucrative,רווחי,Adjective,3
ludicrous,מגוחך,Adjective,3
maintain,"לשמר, לתחזק",Verb,2
maintenance,תחזוקה,Noun,2
major,"עיקרי, מרכזי",Adjective,1
malice,זדוניות,Noun,3
malicious,זדוני,Adjective,3
mandatory,חובה,Adjective,2
manifest,"ברור, מניפסט",Multi,3
manipulate,לתמרן,Verb,3
manipulation,הפעלה,Noun,3
margin,"שוליים, מרווח",Noun,3
marginal,שולי,Adjective,3
maximize,למקסם,Verb,3
maximum,מקסימלי,Adjective,2
mechanism,מנגנון,Noun,3
mediate,לתווך,Verb,3
mediocre,בינוני,Adjective,3
melancholy,מלנכולי,Adjective,3
merit,"זכות, ערך",Noun,3
method,שיטה,Noun,1
methodology,מתודולוגיה,Noun,3
meticulous,מדקדק,Adjective,3
migrate,להגר,Verb,2
militant,מיליטנט,Noun,3
military,צבאי,Adjective,1
minimize,למזער,Verb,3
minor,(מוזיקה) מינור,Noun,2
minority,מיעוט,Noun,2
mock,מדמה,Adjective,2
moderate,מתון,Adjective,2
modification,התאמה,Noun,2
modify,לשנות,Verb,2
monitor,"לנטר, לעקוב",Verb,2
monotonous,מונוטוני,Adjective,3
mortal,בן תמותה,Adjective,2
motivate,"לעודד, לתמרץ",Verb,2
motive,הניע,Verb,2
mourn,להתאבל,Verb,2
mutual,הדדי,Adjective,2
negate,שלל,Verb,3
negation,שלילה,Noun,3
negative,שלילי,Adjective,1
neglect,להזניח,Verb,2
negotiate,לנהל משא ומתן,Verb,2
network,רשת,Verb,1
neutral,ניטרלי,Adjective,2
nevertheless,אף על פי כן,Adverb,2
nonetheless,בכל זאת,Adverb,3
norm,"נורמה, תקן",Noun,2
normal,המצב הרגיל,Noun,1
normally,באופן נורמלי,Adverb,1
notion,"מושג, רעיון",Noun,3
notorious,ידוע לשמצה,Adjective,3
nuclear,גרעיני,Adjective,2
nurture,לטפח,Verb,2
nutrition,תזונה,Noun,1
objective,"מטרה, אובייקטיבי",Multi,2
oblige,לחייב,Verb,3
obscure,לא ברור,Adjective,3
obsess,רדף,Verb,2
obstruct,לחסום,Verb,3
obtain,להשיג,Verb,2
obvious,ברור,Adjective,1
obviously,בלי [ללא] ספק,Adverb,1
occupation,מקצוע,Noun,1
occupy,ישב,Verb,2
occur,לקרות,Verb,2
occurrence,התרחשות,Noun,2
ominous,מבשר רעות,Adjective,3
oppress,לדכא,Verb,3
oppression,דכוי,Noun,3
optimistic,אופטימיסטי,Adjective,2
option,אופציה,Noun,1
optional,אופציונלי,Adjective,2
orthodox,"אורתודוקסי, שמרני",Adjective,3
outcome,"תוצאה, פלט",Noun,2
outline,"קווי מתאר, לתאר",Multi,2
output,(מחשבים) הוציא כפלט,Verb,2
outrage,הרגיז,Verb,2
outstanding,"מצוין, בולט",Adjective,2
overall,סרבל,Noun,2
overcome,להתגבר,Verb,2
overlap,חפף,Verb,2
overwhelm,להכריע,Verb,2
paradigm,"פרדיגמה, מודל",Noun,3
parallel,מקביל,Adjective,2
parameter,פרמטר,Noun,3
pardon,סלח,Verb,2
participate,להשתתף,Verb,2
participation,השתתפות,Noun,2
patriot,פטריוט,Noun,2
patronize,התנשא,Verb,3
peculiar,מוזר,Adjective,2
penalty,ענש,Noun,2
penetrate,לחדור,Verb,2
perceive,"לתפוס, להבין",Verb,3
percent,אחוז,Noun,1
percentage,אחוז,Noun,2
perception,תפיסה,Noun,2
period,תקופה,Noun,1
persist,להתמיד,Verb,3
persistent,עקשן,Adjective,3
perspective,"פרספקטיבה, נקודת מבט",Noun,2
pessimistic,פסימי,Adjective,2
phase,תכנן בשלבים,Verb,2
phenomenon,תופעה,Noun,3
pioneer,חלוץ,Noun,2
plausible,סביר,Adjective,3
plentiful,בשפע,Adjective,2
policy,מדיניות,Noun,2
pompous,יהיר,Adjective,3
positive,(צילום) פוזיטיב,Noun,1
positively,בחיוב,Adverb,2
potential,פוטנציאל,Multi,2
potentially,בכח,Adverb,2
poverty,עני,Noun,1
pragmatic,פרגמטי,Adjective,3
precarious,"רעוע, מסוכן",Adjective,3
precaution,אמצעי זהירות,Noun,2
precede,להקדים,Verb,3
precise,מדויק,Adjective,2
predict,נבא,Verb,2
prediction,נבוי,Noun,2
predominant,שולט,Adjective,3
prejudice,דעה קדומה,Noun,2
preliminary,מקדמי,Adjective,3
preposterous,אבסורדי,Adjective,3
prescribe,לרשום מרשם,Verb,2
prestigious,יוקרתי,Adjective,3
pretentious,ימרני,Adjective,3
prevail,לגבור,Verb,3
prevalent,"נפוץ, שכיח",Adjective,3
previous,קודם,Adjective,1
previously,קדם לכן,Adverb,2
primarily,בעקר,Adverb,2
primary,"עיקרי, ראשוני",Adjective,2
primitive,אדם קדמון,Noun,2
principal,עקרי,Adjective,2
principally,בעקר,Adverb,2
principle,עיקרון,Noun,2
priority,עדיפות,Noun,2
proactive,פרואקטיבי,Adjective,2
procedure,נהל,Noun,2
proceed,התקדם,Verb,2
process,תהליך,Noun,1
proclaim,להכריז,Verb,3
professional,מקצוען,Noun,1
professionalism,מקצוענות,Noun,2
profound,עמוק,Adjective,3
prohibit,לאסור,Verb,3
prohibition,אסור,Noun,3
prominent,בולט,Adjective,2
promote,לקדם,Verb,2
promotion,קדום,Noun,2
prompt,לחשן (בתיאטרון),Noun,2
propaganda,תעמולה,Noun,3
proportion,"יחס, פרופורציה",Noun,3
proportional,פרופורציונלי,Adjective,3
prospect,"סיכוי, תחזית",Noun,3
